Year,Region/City,Number of Bedrooms,Number of Bathrooms,Square Footage,Listing Price,Sale Price,Days on Market,Property Age (Years),Property Type,Number of Garages
2021,Toronto,2,4,1317,685275,659035,66,33,Townhouse,0
2010,Guelph,2,4,1744,906302,806191,17,35,Condo,2
2018,Toronto,5,4,1334,886242,822667,62,18,Condo,2
2015,Kitchener,3,1,1572,1037472,979343,41,90,Condo,1
2013,Hamilton,4,1,1460,1167114,1131724,14,21,Condo,1
2021,Ottawa,5,1,1622,983165,948536,7,64,Condo,1
2018,Toronto,1,2,1297,934132,919619,38,28,Condo,1
2020,London,2,4,1870,721863,681656,38,84,Detached,0
2014,Kitchener,3,2,682,346866,255598,34,45,Detached,3
2014,Kitchener,5,3,1756,1059660,1049204,41,20,Townhouse,1
2021,Ottawa,3,3,743,1171236,1138829,72,4,Condo,3
2014,Kitchener,2,1,1198,862596,784811,38,36,Condo,0
2010,London,5,3,1708,598778,521074,36,98,Townhouse,0
2010,Toronto,5,4,694,1075572,1047189,89,77,Condo,2
2017,Ottawa,3,3,1566,1021016,936108,62,95,Condo,3
2021,Kitchener,2,1,951,392535,355576,28,52,Condo,3
2017,Kitchener,1,2,1112,828081,812559,13,39,Detached,0
2021,London,5,3,1093,848560,753611,45,71,Condo,2
2015,Hamilton,1,4,962,479116,426358,28,81,Detached,1
2021,Hamilton,2,4,808,584226,539262,29,12,Condo,1
2020,Windsor,5,4,2328,1018312,963068,40,55,Condo,2
2022,Kitchener,5,2,1427,813946,793044,12,94,Townhouse,2
2013,Toronto,1,4,1005,610011,576869,63,48,Townhouse,1
2011,Ottawa,4,1,1275,666118,573011,39,98,Condo,0
2023,Kitchener,1,1,1514,559777,454004,42,86,Condo,0
2011,Guelph,1,4,1348,815083,798479,87,85,Condo,2
2018,Ottawa,4,3,993,950460,912141,36,9,Detached,0
2014,Windsor,2,4,1140,1035334,985203,55,12,Condo,0
2013,Hamilton,2,1,1974,666403,610383,32,81,Townhouse,3
2019,Kitchener,5,1,938,729243,707755,60,80,Detached,1
2022,London,3,1,701,900231,830718,12,69,Condo,2
2010,Guelph,3,3,1344,990521,918742,45,83,Detached,1
2016,Kitchener,5,3,727,874155,798646,27,57,Detached,3
2012,Windsor,3,3,1136,1053506,980933,58,28,Detached,0
2015,Toronto,1,1,999,1163381,1110945,27,17,Detached,0
2014,Guelph,1,2,1002,473997,394281,36,22,Condo,3
2014,Windsor,4,4,1527,1103803,1037482,14,35,Townhouse,1
2020,Kitchener,4,4,1602,1059713,1054230,85,59,Detached,3
2014,Toronto,5,1,1177,564889,559195,39,79,Townhouse,0
2010,Guelph,5,3,1462,892755,833498,67,19,Detached,0
2010,Toronto,5,2,1157,927194,838620,71,50,Townhouse,1
2012,Toronto,1,2,1660,582036,518655,40,26,Detached,0
2023,Guelph,3,3,908,787782,720133,53,60,Detached,1
2021,Guelph,5,4,1566,831279,813052,50,44,Condo,2
2019,Toronto,5,4,1596,584013,531993,31,56,Condo,0
2013,Windsor,1,2,2434,732216,647953,35,99,Detached,0
2014,Hamilton,1,2,798,1080235,1016861,38,43,Townhouse,1
2011,Guelph,1,3,2562,1136664,1083525,80,23,Condo,2
2017,Kitchener,3,4,1802,579283,511460,63,74,Condo,0
2020,Ottawa,5,2,2230,267052,210256,58,22,Condo,0
2020,London,2,4,1862,1047471,962235,70,47,Condo,2
2023,Toronto,2,2,1122,1164482,1107709,34,55,Detached,0
2011,Toronto,5,3,1763,975353,926276,77,11,Townhouse,1
2018,London,5,4,1233,742599,724020,27,55,Condo,2
2011,Hamilton,5,2,1464,583254,496823,13,26,Condo,2
2022,London,5,2,1030,923355,901568,88,1,Townhouse,3
2018,Guelph,3,2,1228,1010935,953811,59,62,Condo,0
2016,London,2,2,1858,668038,594010,5,21,Townhouse,2
2017,Toronto,4,3,1675,855011,751331,60,8,Detached,2
2020,London,2,4,1909,713057,656259,43,20,Condo,2
2011,Ottawa,2,4,940,950787,859049,22,45,Townhouse,3
2016,Kitchener,1,1,751,388231,337410,46,81,Condo,0
2021,Guelph,5,4,1940,879334,846147,77,79,Detached,2
2015,London,5,1,1911,726810,593818,79,85,Townhouse,0
2013,Toronto,5,2,1584,1166413,1152956,69,65,Townhouse,2
2016,Windsor,1,3,1667,862397,724758,79,60,Townhouse,1
2023,Kitchener,3,3,1846,941548,842697,37,67,Condo,2
2022,Guelph,3,2,1572,611369,578614,34,95,Townhouse,2
2013,Toronto,4,1,1714,755714,686219,9,56,Townhouse,3
2011,Hamilton,3,2,1825,878901,870834,54,31,Townhouse,2
2019,Ottawa,3,3,1462,728115,660325,69,85,Detached,1
2021,Hamilton,5,3,1361,751547,691885,14,87,Townhouse,2
2016,Ottawa,2,4,1652,852592,776598,64,81,Townhouse,1
2017,London,3,1,2405,457349,419469,81,22,Townhouse,1
2011,Guelph,3,4,1160,695116,640346,31,62,Detached,1
2014,London,1,3,1327,957759,893471,76,56,Townhouse,3
2010,Ottawa,4,3,797,721271,685925,32,86,Condo,0
2016,Ottawa,1,4,1673,1267314,1175132,49,72,Townhouse,0
2017,Ottawa,5,4,1288,818148,764244,56,8,Condo,1
2022,Kitchener,2,3,939,429594,369263,70,62,Detached,3
2015,Toronto,4,4,1474,888774,863758,66,78,Detached,3
2014,Guelph,1,4,2097,588815,588356,80,24,Townhouse,0
2015,London,3,1,1359,867998,858389,81,22,Townhouse,1
2011,London,3,3,1395,686854,618965,64,15,Detached,0
2010,Hamilton,4,2,2082,700115,673824,44,84,Detached,0
2016,Ottawa,3,1,1497,1007031,935165,19,91,Detached,3
2016,Windsor,1,2,1016,483302,383660,11,28,Condo,3
2019,Ottawa,1,4,1775,702949,629820,43,22,Condo,2
2020,Ottawa,3,4,1949,680596,617807,55,31,Townhouse,3
2019,Windsor,3,2,1419,1067407,997737,11,73,Condo,3
2023,London,5,4,1552,730217,647097,16,62,Detached,0
2011,Hamilton,2,4,975,611684,552333,18,87,Townhouse,3
2011,Toronto,4,1,1151,846248,776338,38,69,Condo,3
2010,Windsor,1,2,1366,621142,588105,43,39,Townhouse,0
2019,Kitchener,4,1,1530,650125,629412,77,81,Condo,3
2017,Guelph,5,2,1252,938023,903197,68,40,Townhouse,3
2017,Windsor,1,1,1351,226785,186576,16,69,Detached,2
2010,Toronto,5,3,1450,607194,568209,38,55,Detached,1
2021,London,5,3,1100,664646,580247,31,71,Detached,2
2020,Kitchener,3,2,1392,1109025,1140497,26,64,Condo,3
2017,Kitchener,4,3,1962,889066,845478,22,8,Townhouse,0
2018,Kitchener,4,1,1261,793654,721356,50,71,Townhouse,0
2023,Ottawa,3,2,1139,779359,708157,48,86,Townhouse,1
2013,Guelph,4,3,2334,824693,799261,22,44,Condo,0
2010,London,3,3,1590,849120,746959,41,38,Detached,3
2010,London,1,2,1190,825107,816620,11,21,Detached,2
2012,Kitchener,5,3,1757,1189314,1149814,72,4,Townhouse,1
2023,London,5,3,1602,712159,671454,84,32,Townhouse,2
2014,Guelph,4,2,1271,834877,794473,64,55,Condo,0
2014,Guelph,2,3,1480,807598,716807,52,93,Townhouse,3
2018,Hamilton,5,3,1383,987855,937377,55,60,Townhouse,1
2019,Windsor,3,3,1896,661355,601762,88,59,Condo,0
2023,Windsor,2,3,1772,726636,650257,56,94,Townhouse,0
2021,Hamilton,2,4,642,497669,466857,81,67,Detached,2
2011,Toronto,5,2,2261,997402,952044,56,5,Condo,0
2011,Windsor,5,4,1384,495420,395138,88,83,Detached,2
2015,Guelph,5,4,2188,907911,846564,58,72,Townhouse,0
2018,Guelph,3,1,1786,1136219,1119069,45,37,Townhouse,2
2010,Windsor,2,4,1599,1185147,1160838,46,95,Condo,2
2018,Guelph,4,4,1462,738806,662049,26,27,Condo,3
2018,Hamilton,3,1,2603,730824,714709,43,13,Condo,1
2022,Kitchener,1,3,1391,785176,749366,27,6,Condo,1
2018,Kitchener,5,3,1231,980147,924048,52,65,Townhouse,3
2014,London,2,4,1267,773580,723172,37,30,Townhouse,0
2022,Kitchener,3,1,1500,745252,650756,45,75,Detached,0
2018,Ottawa,1,3,1499,1014541,1038059,34,52,Detached,1
2020,Hamilton,3,1,1901,808735,744277,82,41,Condo,2
2013,Guelph,3,2,1803,769382,727860,51,95,Townhouse,2
2011,Windsor,4,2,1803,624773,535263,61,80,Condo,1
2022,Kitchener,4,2,1408,1005406,962475,76,15,Condo,1
2015,Hamilton,3,2,1770,849415,805615,61,5,Condo,3
2023,Kitchener,1,4,1812,797655,747778,66,15,Condo,0
2013,Toronto,2,2,1468,427605,397440,61,1,Condo,2
2015,Guelph,2,2,1611,990899,958627,72,15,Townhouse,3
2012,Toronto,5,1,1812,573150,527619,76,60,Detached,1
2015,Guelph,5,3,1584,890383,791034,29,48,Condo,3
2011,Hamilton,2,1,1622,644293,609034,44,54,Townhouse,3
2011,London,3,4,2062,585380,556005,21,55,Condo,2
2022,Kitchener,3,2,1587,985630,947635,84,72,Townhouse,3
2018,Kitchener,4,3,1256,820331,770230,52,86,Detached,2
2016,Ottawa,4,3,961,808208,704435,43,27,Detached,1
2012,Windsor,5,2,1545,1190101,1163015,19,98,Townhouse,2
2022,Toronto,2,2,1367,1187007,1062035,21,30,Condo,0
2020,Kitchener,3,4,1823,750609,687041,39,76,Detached,1
2010,Hamilton,2,4,2131,538570,518580,37,60,Condo,2
2017,London,1,2,1088,1082762,1049180,22,66,Condo,1
2023,Windsor,2,2,1145,531078,539171,34,46,Townhouse,3
2015,Hamilton,1,2,1490,895039,841839,41,52,Condo,1
2016,Toronto,4,2,1180,746421,664875,11,86,Townhouse,2
2018,Ottawa,4,3,1411,815199,764267,78,81,Townhouse,3
2014,Kitchener,5,4,1285,1045258,971174,84,35,Townhouse,0
2010,Hamilton,2,2,1096,642631,579777,32,42,Detached,1
2021,Windsor,2,2,1830,678367,592063,22,56,Condo,2
2019,Guelph,1,3,1530,951610,931003,51,45,Townhouse,1
2016,London,4,1,2232,1157763,1081277,27,52,Townhouse,1
2014,Windsor,1,2,1643,1294834,1188231,24,23,Condo,2
2012,Hamilton,4,3,2015,509837,382879,35,29,Detached,0
2021,London,1,3,1208,716077,623468,18,29,Townhouse,2
2022,Kitchener,4,1,1203,593691,538547,27,57,Townhouse,1
2018,Guelph,1,4,2388,969310,948269,6,19,Townhouse,0
2010,Ottawa,4,4,1256,812173,786672,33,81,Townhouse,0
2010,Windsor,1,4,1120,975557,930753,54,8,Condo,0
2010,Ottawa,2,2,1031,720977,615180,77,50,Townhouse,0
2012,Guelph,5,4,2266,939905,905817,63,7,Detached,1
2021,London,1,2,1390,764211,708824,37,11,Condo,2
2015,Kitchener,5,2,1661,828446,750224,52,67,Detached,2
2019,Hamilton,2,3,1560,684751,733320,48,66,Condo,3
2020,Guelph,2,4,1210,1072008,1053911,16,83,Condo,3
2012,Toronto,4,4,1381,547456,438861,87,28,Condo,3
2017,London,5,4,1838,777253,695966,46,56,Detached,0
2023,Ottawa,3,2,1009,1156176,1074687,88,28,Detached,0
2023,Windsor,4,2,1769,1055196,1033381,39,89,Townhouse,2
2019,Guelph,5,4,2073,631356,537811,45,75,Detached,0
2011,Ottawa,1,2,1616,641527,616036,89,40,Townhouse,2
2023,London,1,2,2033,902814,850068,59,2,Condo,3
2018,Ottawa,2,1,951,929986,859146,17,76,Townhouse,2
2012,Guelph,3,1,767,1037980,962994,43,61,Detached,0
2014,London,1,4,1597,518148,453342,70,76,Condo,2
2019,Toronto,5,4,1265,1063158,1019186,39,25,Condo,2
2017,Guelph,5,1,1851,619713,625140,76,95,Townhouse,2
2011,Hamilton,1,2,1375,1066934,1014464,37,54,Townhouse,0
2015,Kitchener,5,2,1558,476915,491969,89,17,Detached,1
2021,Guelph,5,3,1532,577209,510182,40,48,Condo,3
2014,London,2,4,1545,1144203,1123563,17,12,Townhouse,1
2022,Windsor,3,4,1282,1155207,1109993,60,61,Condo,1
2019,Kitchener,2,4,954,820067,785413,50,94,Detached,1
2018,Guelph,3,3,1412,734142,667162,77,2,Condo,1
2021,Toronto,5,3,2080,796789,770493,50,80,Townhouse,0
2014,Windsor,3,2,1256,882945,825259,48,65,Detached,0
2011,Toronto,5,1,1254,900962,845426,50,52,Detached,1
2014,Hamilton,5,1,1563,741053,689080,78,34,Condo,1
2021,Windsor,2,1,1029,412905,351125,73,45,Townhouse,2
2013,Ottawa,2,2,1901,691259,677334,35,1,Condo,2
2020,Windsor,4,1,1067,488999,473976,28,52,Condo,3
2016,Kitchener,1,3,1384,953162,860158,36,67,Condo,3
2015,Windsor,4,3,2515,873778,869975,71,98,Townhouse,3
2023,London,4,4,1042,777750,662760,20,76,Condo,2
2011,London,3,1,2088,749846,703979,61,56,Condo,1
2021,Ottawa,5,3,1548,1193220,1168735,88,58,Detached,1
2020,Windsor,5,4,1604,1029278,953444,28,91,Detached,3
2020,Toronto,5,1,1176,841064,807932,38,50,Detached,3
2022,Toronto,1,1,1819,692390,632245,56,25,Townhouse,0
2014,Guelph,3,3,1353,1057999,970707,52,12,Condo,3
2016,Hamilton,3,4,1040,822100,750703,57,97,Condo,2
2020,Kitchener,5,4,2082,670334,607540,59,73,Detached,2
2016,Hamilton,4,3,1345,681882,612244,42,65,Condo,3
2014,Windsor,1,3,756,932372,881170,6,56,Townhouse,3
2021,Hamilton,4,3,1392,990464,916132,73,50,Condo,0
2018,Guelph,2,1,1823,927120,909304,86,87,Detached,0
2013,Hamilton,3,3,1759,931511,837738,57,28,Townhouse,0
2020,Ottawa,3,3,1243,739145,693832,54,3,Condo,2
2012,Guelph,4,2,1109,691163,635848,33,38,Condo,0
2013,Ottawa,1,3,953,829716,789123,78,64,Condo,1
2014,Windsor,3,3,1490,783595,715412,59,54,Townhouse,1
2022,Guelph,4,1,1560,599841,518218,65,36,Condo,1
2015,Windsor,1,4,1783,793550,773313,54,44,Detached,0
2012,Windsor,4,1,1440,937993,890072,20,44,Detached,2
2011,Hamilton,1,2,1428,721923,666828,74,69,Detached,2
2023,Ottawa,5,3,1388,1117450,1054361,48,93,Detached,0
2022,Windsor,1,3,1561,549636,508383,88,53,Townhouse,3
2013,Ottawa,2,3,1446,635169,598128,20,13,Detached,3
2014,Ottawa,5,3,1875,685442,608859,32,44,Detached,0
2013,Guelph,4,3,1624,964498,899239,61,4,Detached,2
2023,London,5,3,1543,842476,786013,30,70,Townhouse,1
2020,Hamilton,5,2,1483,622789,535307,15,51,Townhouse,3
2022,Windsor,4,3,1123,425545,415677,5,70,Condo,1
2021,Ottawa,4,3,1499,562651,488698,73,11,Detached,2
2012,Kitchener,2,3,1241,449343,388135,47,91,Condo,3
2017,London,4,2,1638,974695,968343,50,54,Townhouse,0
2019,Windsor,3,3,1416,588183,503194,40,62,Condo,1
2013,Kitchener,3,2,2165,936112,868417,70,59,Townhouse,1
2023,Hamilton,2,1,995,908760,837060,61,99,Condo,1
2011,Hamilton,1,3,259,1038317,997427,10,61,Detached,0
2011,Ottawa,1,4,1607,657068,584191,66,40,Townhouse,0
2010,Ottawa,3,2,1242,880945,852874,31,4,Townhouse,1
2022,Windsor,4,1,1564,824336,814699,30,27,Townhouse,0
2013,Guelph,2,2,1005,824893,775285,17,16,Detached,3
2019,London,1,2,2263,796196,725946,80,82,Detached,2
2018,Windsor,1,1,1345,968382,887935,22,7,Townhouse,3
2023,London,5,3,1216,946512,891992,42,11,Townhouse,0
2020,Ottawa,3,3,2256,799496,747290,10,72,Detached,2
2016,Hamilton,4,2,1836,708120,627691,32,64,Detached,1
2021,Ottawa,2,1,2055,685126,645145,9,52,Detached,1
2019,Hamilton,1,3,1431,807085,773949,63,6,Detached,2
2016,Windsor,5,2,1518,844364,745817,83,48,Detached,3
2022,Hamilton,3,4,1261,781707,740040,77,69,Detached,1
2016,Ottawa,3,1,1214,541640,464142,49,6,Condo,1
2017,Toronto,2,4,1659,739068,648280,57,61,Detached,1
2010,London,1,4,1352,694583,638283,6,66,Detached,0
2019,Kitchener,2,2,2388,803015,745100,53,95,Townhouse,3
2022,Hamilton,2,1,1837,1307231,1203297,77,96,Townhouse,0
2019,Hamilton,5,3,2253,886030,875270,67,73,Condo,2
2017,Toronto,3,3,608,1052448,1042196,74,79,Detached,2
2013,Windsor,4,2,2258,663183,588717,62,85,Townhouse,0
2013,Windsor,3,3,546,804377,766640,8,53,Townhouse,1
2013,Windsor,3,3,995,1045735,969891,34,28,Condo,0
2015,Kitchener,5,4,798,483911,435604,61,91,Detached,3
2016,Guelph,4,4,1597,753317,678334,51,5,Townhouse,1
2015,Toronto,1,1,1492,924130,900574,22,81,Detached,2
2010,Kitchener,4,4,1817,785483,717090,48,58,Condo,3
2021,Toronto,1,3,1464,686421,651450,56,24,Condo,2
2017,Hamilton,4,1,1990,697655,626049,53,31,Detached,3
2022,London,2,1,1126,863079,742142,34,99,Condo,3
2019,Toronto,4,2,1999,485902,460037,56,41,Townhouse,3
2020,Guelph,5,4,1487,824925,785548,41,68,Condo,2
2022,Ottawa,1,1,2442,945170,899003,67,84,Condo,0
2016,Kitchener,3,3,1848,727573,667891,16,81,Detached,0
2015,Toronto,5,1,1378,488004,506744,21,46,Townhouse,1
2015,Toronto,1,1,1486,697592,646595,38,10,Detached,2
2014,Guelph,1,2,1096,775246,731801,32,37,Detached,1
2015,London,3,3,1643,584693,541037,8,21,Detached,1
2021,Toronto,2,3,1378,806126,747290,50,21,Condo,3
2018,Toronto,5,4,1789,834409,773787,18,80,Condo,3
2019,London,3,3,964,1040517,980360,17,97,Detached,0
2018,Guelph,3,1,1368,767015,749327,62,10,Condo,0
2019,Kitchener,2,3,1036,822344,779856,53,82,Condo,1
2017,Kitchener,5,3,1061,689809,648581,54,97,Detached,1
2019,Toronto,3,1,1742,704565,638747,71,93,Townhouse,1
2018,London,2,2,1949,940837,919820,25,95,Townhouse,0
2022,Toronto,5,4,566,753100,697299,84,24,Condo,1
2019,Windsor,4,4,2244,965320,867055,55,12,Townhouse,0
2017,Ottawa,1,2,2061,790642,820467,42,20,Townhouse,2
2017,Kitchener,2,1,961,571233,526331,30,70,Condo,2
2010,Windsor,1,4,1830,661419,670963,10,8,Townhouse,1
2019,Hamilton,4,2,1315,1283677,1233669,22,78,Condo,0
2020,Ottawa,3,2,1460,779907,704844,10,5,Detached,2
2014,Toronto,3,2,1740,476934,442262,45,54,Townhouse,0
2013,Guelph,5,4,1691,572338,494557,61,36,Detached,0
2011,Kitchener,2,4,1270,657428,566603,54,38,Detached,2
2017,Hamilton,2,4,1269,621342,559289,29,3,Condo,1
2012,Ottawa,5,4,1292,580158,545608,52,36,Townhouse,1
2013,Kitchener,1,3,1957,1092473,1026393,28,22,Townhouse,2
2021,London,3,2,755,932932,832506,34,8,Townhouse,3
2016,Guelph,3,3,1435,760035,749970,49,61,Townhouse,0
2019,Ottawa,2,2,2129,682546,599302,47,78,Condo,3
2018,London,2,4,1781,767661,756329,76,7,Detached,1
2011,Windsor,5,4,1920,1156154,1151682,60,68,Townhouse,0
2012,Toronto,4,3,1440,626992,613998,77,62,Townhouse,2
2013,London,1,1,1034,484566,435748,74,19,Condo,1
2019,Ottawa,4,4,1522,933470,845581,37,47,Townhouse,1
2010,Ottawa,4,1,1224,1001626,1011958,49,24,Townhouse,1
2016,Windsor,2,2,2392,1090326,1010640,11,80,Detached,2
2011,Toronto,2,3,1436,729532,684126,22,6,Townhouse,2
2014,London,2,1,1754,731623,714710,74,8,Townhouse,3
2010,London,4,1,2180,1202456,1134709,49,25,Detached,2
2012,Toronto,1,4,1061,919099,883344,41,96,Townhouse,3
2021,London,2,1,588,782984,665217,25,89,Detached,0
2011,Kitchener,3,1,1696,900673,835720,83,74,Condo,0
2010,Toronto,1,2,1771,712800,661122,48,41,Detached,0
2016,Guelph,3,3,1334,860244,790798,34,58,Detached,1
2014,Ottawa,1,4,1037,856998,766693,15,81,Townhouse,1
2010,Guelph,2,4,1623,966834,873610,12,60,Townhouse,1
2015,Kitchener,5,1,1490,603013,525172,9,3,Townhouse,2
2014,Windsor,2,2,1628,871085,779782,12,9,Townhouse,2
2012,Kitchener,4,1,1046,566682,480585,9,52,Detached,3
2021,Hamilton,4,1,1629,1175103,1097825,14,58,Condo,1
2016,Hamilton,1,4,1827,716159,677989,19,60,Townhouse,2
2020,Hamilton,4,1,897,469021,381304,60,82,Detached,0
2019,Toronto,2,1,2084,1355472,1318332,59,49,Condo,0
2018,London,3,2,1601,695785,637878,7,94,Condo,2
2023,Kitchener,2,4,1840,818992,780277,45,5,Condo,0
2022,Guelph,1,3,988,460930,390711,14,62,Detached,0
2022,Windsor,4,2,1773,789398,701012,11,32,Townhouse,3
2018,Guelph,3,2,842,1134542,1096748,67,27,Detached,0
2023,Guelph,5,2,1120,940988,933340,67,85,Townhouse,1
2018,Guelph,3,4,1605,459832,379516,30,24,Condo,2
2011,Windsor,3,1,1389,647364,566297,38,38,Condo,2
2012,Hamilton,2,3,1510,983636,886703,76,67,Detached,1
2016,Guelph,5,4,2270,927328,850512,43,16,Condo,0
2014,Windsor,1,1,1504,702796,625287,64,15,Detached,3
2011,Windsor,1,2,1783,879413,850936,73,25,Townhouse,3
2012,London,3,4,1473,560368,488258,30,72,Condo,1
2019,Windsor,3,1,1461,538598,424194,66,4,Townhouse,0
2015,Hamilton,4,3,1108,301341,267931,14,32,Condo,1
2022,Guelph,5,3,1647,985077,971617,58,45,Townhouse,3
2016,Windsor,3,1,2514,778964,724748,35,56,Condo,0
2018,Toronto,4,4,1535,800844,722721,42,35,Townhouse,1
2010,Windsor,5,2,1393,186031,129536,29,53,Condo,1
2020,Ottawa,1,1,1956,790073,686560,81,30,Detached,0
2016,Ottawa,4,2,1909,910211,886023,69,49,Townhouse,3
2017,Ottawa,5,3,1675,382110,377577,54,94,Townhouse,0
2021,Windsor,4,1,1376,808839,715969,28,81,Detached,3
2023,Hamilton,3,3,1957,786698,778937,31,83,Detached,2
2012,Guelph,2,2,1548,706939,647426,86,52,Detached,3
2013,Kitchener,1,2,1865,1061524,969470,54,95,Condo,3
2019,Kitchener,3,1,1172,1013535,957047,54,81,Detached,2
2015,Kitchener,3,1,1265,1463537,1434475,19,2,Condo,1
2019,Hamilton,5,1,1538,557414,469246,21,59,Condo,1
2016,London,4,3,1005,885728,830605,33,37,Detached,3
2022,Toronto,1,2,1352,1099974,1056601,9,29,Detached,2
2023,Toronto,3,2,988,661560,562255,15,30,Condo,2
2013,Ottawa,5,3,882,1138251,1099536,84,22,Townhouse,0
2017,Ottawa,1,1,2474,872980,840961,56,75,Townhouse,3
2014,Windsor,4,4,1256,450660,427743,38,97,Detached,2
2010,Kitchener,3,1,1291,542825,456344,85,19,Townhouse,1
2013,Windsor,3,4,1532,683929,621100,37,67,Condo,2
2012,Kitchener,3,4,1075,782353,746978,53,86,Townhouse,2
2018,Ottawa,1,3,1299,1047688,1040858,35,18,Condo,2
2017,Guelph,1,2,2233,782066,689805,22,94,Detached,2
2010,London,1,2,1643,1039858,1004042,9,65,Detached,1
2020,Windsor,1,2,1894,821590,826165,34,84,Townhouse,2
2015,London,5,2,2129,802475,749855,49,5,Detached,3
2018,London,2,3,1584,741611,660631,42,76,Detached,2
2016,London,5,4,1411,996404,924801,86,11,Condo,1
2013,Ottawa,3,2,926,825895,773460,33,88,Condo,3
2022,Toronto,5,4,1346,653489,616743,40,58,Condo,2
2010,Ottawa,4,3,1435,866415,833234,13,18,Condo,1
2021,London,1,1,1177,708535,620256,27,72,Detached,3
2011,Ottawa,4,3,2118,697482,706066,7,93,Condo,2
2021,London,4,2,1940,1036529,1015005,60,56,Condo,2
2014,Hamilton,3,1,1894,768126,721001,44,22,Condo,2
2021,Kitchener,1,3,1453,1226919,1236748,60,56,Townhouse,3
2020,Toronto,4,3,1086,947052,903591,62,66,Condo,0
2014,Hamilton,3,4,2031,646844,633653,35,23,Detached,2
2017,Guelph,1,3,1634,633114,568871,15,16,Detached,1
2015,Ottawa,2,1,1809,551848,519044,46,44,Condo,0
2017,Guelph,3,3,1747,921188,883180,7,72,Townhouse,2
2011,Windsor,5,2,1624,628676,597968,61,68,Townhouse,1
2012,Ottawa,1,4,2299,346876,276590,18,14,Townhouse,2
2015,Kitchener,4,1,1237,469712,421780,50,9,Townhouse,1
2021,Hamilton,4,1,1376,579172,500791,23,75,Condo,2
2022,Kitchener,5,3,2156,867370,781132,64,16,Condo,1
2019,Windsor,5,2,1532,783475,742087,35,13,Detached,1
2012,London,4,4,1449,988568,959482,40,36,Detached,0
2015,Kitchener,1,1,1398,618561,581130,36,44,Townhouse,0
2015,Kitchener,3,4,1771,735128,605274,67,81,Townhouse,3
2011,London,5,3,1408,1149466,1117991,30,14,Detached,1
2016,Ottawa,5,2,1363,731764,687007,69,93,Detached,1
2021,London,5,3,1765,844890,788457,6,17,Townhouse,0
2011,Hamilton,2,4,1537,668741,602344,74,65,Detached,3
2015,Kitchener,1,3,1096,754891,701790,49,84,Townhouse,1
2010,London,1,4,1512,895053,791835,82,97,Condo,2
2012,Windsor,1,1,2057,931418,874339,29,54,Townhouse,2
2011,Windsor,1,1,1806,823625,778104,44,2,Condo,3
2016,Kitchener,1,3,2107,748032,669356,22,17,Condo,1
2023,Hamilton,4,1,1207,826041,802640,16,23,Condo,1
2013,Guelph,5,4,1928,652774,586599,28,86,Detached,0
2017,Hamilton,4,1,1240,756900,718025,83,1,Detached,0
2015,Toronto,2,2,1007,866467,777898,47,12,Townhouse,1
2021,Toronto,3,2,1178,997398,906520,36,13,Condo,2
2019,Toronto,5,3,1552,617696,572919,85,78,Townhouse,0
2013,Kitchener,2,3,1911,764559,740671,51,74,Condo,2
2014,Windsor,4,3,1624,598983,604849,49,12,Condo,2
2022,Ottawa,3,3,1438,711111,654355,39,57,Townhouse,2
2022,Windsor,2,4,1087,1000100,1014078,81,86,Townhouse,2
2018,Ottawa,3,4,1782,692694,645246,13,18,Townhouse,3
2016,Ottawa,2,2,1885,780800,747629,14,83,Townhouse,3
2019,Windsor,4,4,1619,552641,485900,69,94,Detached,0
2023,Kitchener,3,1,1079,687775,638185,63,15,Condo,1
2023,Hamilton,2,2,1823,490326,457317,61,39,Condo,3
2018,Ottawa,4,3,1990,855746,780274,14,78,Detached,1
2016,Guelph,5,3,2113,873618,856357,23,73,Condo,0
2021,Windsor,4,4,1324,867377,800485,54,69,Detached,2
2010,Windsor,4,2,1674,880220,768355,72,33,Condo,1
2021,Toronto,5,4,1286,867742,788775,9,48,Detached,3
2017,Hamilton,4,4,1131,494742,456906,33,5,Detached,1
2013,Toronto,5,4,2133,642442,622992,9,88,Condo,3
2012,Windsor,5,2,1725,351253,273214,64,8,Condo,1
2023,Windsor,5,3,2017,707285,694015,69,19,Condo,3
2022,Ottawa,2,1,1010,625853,575673,32,52,Townhouse,2
2016,Hamilton,3,3,1615,792262,720527,87,12,Condo,1
2021,London,2,2,1703,1291892,1272161,5,72,Condo,0
2012,Guelph,5,3,1167,956455,938379,33,8,Condo,1
2017,Ottawa,3,3,2095,1105915,1095452,55,55,Townhouse,3
2015,Windsor,3,1,1401,964283,866449,40,84,Condo,1
2014,Ottawa,5,3,1681,779984,679029,36,93,Detached,0
2013,Guelph,3,3,1279,798059,697551,68,34,Detached,2
2017,Windsor,3,3,1022,972917,868395,18,82,Townhouse,1
2017,Guelph,2,4,1865,849670,818662,36,65,Townhouse,2
2021,London,3,2,1651,742407,746786,13,75,Townhouse,2
2010,Ottawa,5,2,1594,1085293,984196,87,47,Townhouse,2
2018,Kitchener,1,1,1388,888946,811071,15,35,Townhouse,3
2023,Ottawa,1,4,1640,514965,439502,52,32,Condo,1
2014,Toronto,1,4,2006,763926,745127,55,51,Detached,1
2013,Hamilton,5,3,1226,810047,757136,8,80,Detached,0
2015,Hamilton,1,2,1724,719126,664348,45,6,Condo,2
