,Year,Location,Number of Households,Tenure,Housing Characteristics
2705,2022,"London, Ontario",2200,Repeat homebuyer,Apartment in a building that has five or more storeys
2707,2021,"London, Ontario",0,Repeat homebuyer,Apartment in a building that has fewer than five storeys
2708,2022,"London, Ontario",800,Repeat homebuyer,Apartment in a building that has fewer than five storeys
2710,2021,"London, Ontario",0,Repeat homebuyer,Other single-attached house
2711,2022,"London, Ontario",0,Repeat homebuyer,Other single-attached house
2713,2021,"London, Ontario",1300,Repeat homebuyer,Movable dwelling
2714,2022,"London, Ontario",0,Repeat homebuyer,Movable dwelling
2719,2021,"London, Ontario",25700,Repeat homebuyer,Condominium
2720,2022,"London, Ontario",15700,Repeat homebuyer,Condominium
2722,2021,"London, Ontario",119500,Repeat homebuyer,Not condominium
2723,2022,"London, Ontario",113000,Repeat homebuyer,Not condominium
2726,2021,"London, Ontario",7500,Repeat homebuyer,Dwelling satisfaction rating between 0 and 5
2727,2022,"London, Ontario",11000,Repeat homebuyer,Dwelling satisfaction rating between 0 and 5
2728,2021,"London, Ontario",22900,Repeat homebuyer,Dwelling satisfaction rating of 6 or 7
2729,2022,"London, Ontario",26100,Repeat homebuyer,Dwelling satisfaction rating of 6 or 7
2730,2021,"London, Ontario",114800,Repeat homebuyer,"Dwelling satisfaction rating of 8, 9 or 10"
2731,2022,"London, Ontario",91700,Repeat homebuyer,"Dwelling satisfaction rating of 8, 9 or 10"
2734,2021,"London, Ontario",14800,Repeat homebuyer,Neighbourhood satisfaction rating between 0 and 5
2735,2022,"London, Ontario",11600,Repeat homebuyer,Neighbourhood satisfaction rating between 0 and 5
2736,2021,"London, Ontario",17000,Repeat homebuyer,Neighbourhood satisfaction rating of 6 or 7
2737,2022,"London, Ontario",25000,Repeat homebuyer,Neighbourhood satisfaction rating of 6 or 7
2738,2021,"London, Ontario",113300,Repeat homebuyer,"Neighbourhood satisfaction rating of 8, 9 or 10"
2739,2022,"London, Ontario",92200,Repeat homebuyer,"Neighbourhood satisfaction rating of 8, 9 or 10"
2741,2021,"London, Ontario",5400,Repeat homebuyer,"Moved because the household was forced to move by a landlord, a bank or other financial institution or the government"
2742,2022,"London, Ontario",800,Repeat homebuyer,"Moved because the household was forced to move by a landlord, a bank or other financial institution or the government"
2744,2021,"London, Ontario",0,Repeat homebuyer,Moved due to a natural disaster or fire
2745,2022,"London, Ontario",700,Repeat homebuyer,Moved due to a natural disaster or fire
2747,2021,"London, Ontario",9700,Repeat homebuyer,Moved for a new job or job transfer
2748,2022,"London, Ontario",7500,Repeat homebuyer,Moved for a new job or job transfer
2750,2021,"London, Ontario",1600,Repeat homebuyer,Moved for a new school
2751,2022,"London, Ontario",4400,Repeat homebuyer,Moved for a new school
2753,2021,"London, Ontario",8200,Repeat homebuyer,Moved to form own household
2754,2022,"London, Ontario",11000,Repeat homebuyer,Moved to form own household
2756,2021,"London, Ontario",13200,Repeat homebuyer,Moved to be closer to family
2757,2022,"London, Ontario",12700,Repeat homebuyer,Moved to be closer to family
2759,2021,"London, Ontario",18800,Repeat homebuyer,Moved because of a change in household or family size
2760,2022,"London, Ontario",15700,Repeat homebuyer,Moved because of a change in household or family size
2762,2021,"London, Ontario",8600,Repeat homebuyer,Moved to reduce commuting time
2763,2022,"London, Ontario",5200,Repeat homebuyer,Moved to reduce commuting time
2765,2021,"London, Ontario",50300,Repeat homebuyer,Moved to upgrade to a larger dwelling or better quality dwelling
2766,2022,"London, Ontario",36900,Repeat homebuyer,Moved to upgrade to a larger dwelling or better quality dwelling
2768,2021,"London, Ontario",12000,Repeat homebuyer,Moved to reduce housing costs
2769,2022,"London, Ontario",12500,Repeat homebuyer,Moved to reduce housing costs
2771,2021,"London, Ontario",36800,Repeat homebuyer,Moved to be in a more desirable neighbourhood
2772,2022,"London, Ontario",19200,Repeat homebuyer,Moved to be in a more desirable neighbourhood
2774,2021,"London, Ontario",3700,Repeat homebuyer,Moved for personal health reasons
2775,2022,"London, Ontario",3900,Repeat homebuyer,Moved for personal health reasons
2777,2021,"London, Ontario",27800,Repeat homebuyer,Moved to become a homeowner
2778,2022,"London, Ontario",34500,Repeat homebuyer,Moved to become a homeowner
2779,2021,"London, Ontario",400,Repeat homebuyer,Moved due to issues with previous landlord or other tenants
2780,2022,"London, Ontario",100,Repeat homebuyer,Moved due to issues with previous landlord or other tenants
2782,2021,"London, Ontario",600,Repeat homebuyer,Moved for another reason
2783,2022,"London, Ontario",9500,Repeat homebuyer,Moved for another reason
2788,2021,"London, Ontario",6400,Renter,Single-detached house
2789,2022,"London, Ontario",8500,Renter,Single-detached house
2791,2021,"London, Ontario",2300,Renter,Semi-detached house
2792,2022,"London, Ontario",2600,Renter,Semi-detached house
2794,2021,"London, Ontario",7200,Renter,Row house
2795,2022,"London, Ontario",14500,Renter,Row house
2797,2021,"London, Ontario",3600,Renter,Apartment or flat in a duplex
2798,2022,"London, Ontario",1500,Renter,Apartment or flat in a duplex
2800,2021,"London, Ontario",35800,Renter,Apartment in a building that has five or more storeys
2801,2022,"London, Ontario",48300,Renter,Apartment in a building that has five or more storeys
2803,2021,"London, Ontario",30500,Renter,Apartment in a building that has fewer than five storeys
2804,2022,"London, Ontario",22600,Renter,Apartment in a building that has fewer than five storeys
2806,2021,"London, Ontario",0,Renter,Other single-attached house
2807,2022,"London, Ontario",0,Renter,Other single-attached house
2809,2021,"London, Ontario",0,Renter,Movable dwelling
2810,2022,"London, Ontario",0,Renter,Movable dwelling
2815,2021,"London, Ontario",8500,Renter,Condominium
2816,2022,"London, Ontario",14000,Renter,Condominium
2818,2021,"London, Ontario",77300,Renter,Not condominium
2819,2022,"London, Ontario",84200,Renter,Not condominium
2822,2021,"London, Ontario",19000,Renter,Dwelling satisfaction rating between 0 and 5
2823,2022,"London, Ontario",25300,Renter,Dwelling satisfaction rating between 0 and 5
2824,2021,"London, Ontario",25900,Renter,Dwelling satisfaction rating of 6 or 7
2825,2022,"London, Ontario",27700,Renter,Dwelling satisfaction rating of 6 or 7
2826,2021,"London, Ontario",40900,Renter,"Dwelling satisfaction rating of 8, 9 or 10"
2827,2022,"London, Ontario",45000,Renter,"Dwelling satisfaction rating of 8, 9 or 10"
2830,2021,"London, Ontario",13700,Renter,Neighbourhood satisfaction rating between 0 and 5
2831,2022,"London, Ontario",25700,Renter,Neighbourhood satisfaction rating between 0 and 5
2832,2021,"London, Ontario",18200,Renter,Neighbourhood satisfaction rating of 6 or 7
2833,2022,"London, Ontario",21700,Renter,Neighbourhood satisfaction rating of 6 or 7
2834,2021,"London, Ontario",53900,Renter,"Neighbourhood satisfaction rating of 8, 9 or 10"
2835,2022,"London, Ontario",50700,Renter,"Neighbourhood satisfaction rating of 8, 9 or 10"
2837,2021,"London, Ontario",9100,Renter,"Moved because the household was forced to move by a landlord, a bank or other financial institution or the government"
2838,2022,"London, Ontario",8000,Renter,"Moved because the household was forced to move by a landlord, a bank or other financial institution or the government"
2840,2021,"London, Ontario",0,Renter,Moved due to a natural disaster or fire
2841,2022,"London, Ontario",100,Renter,Moved due to a natural disaster or fire
2843,2021,"London, Ontario",9200,Renter,Moved for a new job or job transfer
2844,2022,"London, Ontario",9200,Renter,Moved for a new job or job transfer
2846,2021,"London, Ontario",3800,Renter,Moved for a new school
2847,2022,"London, Ontario",6800,Renter,Moved for a new school
2849,2021,"London, Ontario",7300,Renter,Moved to form own household
2850,2022,"London, Ontario",8800,Renter,Moved to form own household
2852,2021,"London, Ontario",7600,Renter,Moved to be closer to family
2853,2022,"London, Ontario",8800,Renter,Moved to be closer to family
2855,2021,"London, Ontario",21700,Renter,Moved because of a change in household or family size
2856,2022,"London, Ontario",11900,Renter,Moved because of a change in household or family size
2858,2021,"London, Ontario",4800,Renter,Moved to reduce commuting time
2859,2022,"London, Ontario",5200,Renter,Moved to reduce commuting time
2861,2021,"London, Ontario",16200,Renter,Moved to upgrade to a larger dwelling or better quality dwelling
2862,2022,"London, Ontario",18700,Renter,Moved to upgrade to a larger dwelling or better quality dwelling
2864,2021,"London, Ontario",10400,Renter,Moved to reduce housing costs
2865,2022,"London, Ontario",10100,Renter,Moved to reduce housing costs
2867,2021,"London, Ontario",13100,Renter,Moved to be in a more desirable neighbourhood
2868,2022,"London, Ontario",10000,Renter,Moved to be in a more desirable neighbourhood
2870,2021,"London, Ontario",4900,Renter,Moved for personal health reasons
2871,2022,"London, Ontario",6100,Renter,Moved for personal health reasons
2873,2021,"London, Ontario",1400,Renter,Moved to become a homeowner
2874,2022,"London, Ontario",400,Renter,Moved to become a homeowner
2875,2021,"London, Ontario",8000,Renter,Moved due to issues with previous landlord or other tenants
2876,2022,"London, Ontario",6700,Renter,Moved due to issues with previous landlord or other tenants
2878,2021,"London, Ontario",300,Renter,Moved for another reason
2879,2022,"London, Ontario",17100,Renter,Moved for another reason
2884,2021,"Census agglomerations, Ontario",32700,First-time homebuyer,Single-detached house
2885,2022,"Census agglomerations, Ontario",31200,First-time homebuyer,Single-detached house
2887,2021,"Census agglomerations, Ontario",4300,First-time homebuyer,Semi-detached house
2888,2022,"Census agglomerations, Ontario",5800,First-time homebuyer,Semi-detached house
2890,2021,"Census agglomerations, Ontario",1800,First-time homebuyer,Row house
2891,2022,"Census agglomerations, Ontario",4700,First-time homebuyer,Row house
2893,2021,"Census agglomerations, Ontario",0,First-time homebuyer,Apartment or flat in a duplex
2894,2022,"Census agglomerations, Ontario",1900,First-time homebuyer,Apartment or flat in a duplex
2896,2021,"Census agglomerations, Ontario",500,First-time homebuyer,Apartment in a building that has five or more storeys
2897,2022,"Census agglomerations, Ontario",1200,First-time homebuyer,Apartment in a building that has five or more storeys
2899,2021,"Census agglomerations, Ontario",1500,First-time homebuyer,Apartment in a building that has fewer than five storeys
2900,2022,"Census agglomerations, Ontario",0,First-time homebuyer,Apartment in a building that has fewer than five storeys
2902,2021,"Census agglomerations, Ontario",0,First-time homebuyer,Other single-attached house
2903,2022,"Census agglomerations, Ontario",0,First-time homebuyer,Other single-attached house
2905,2021,"Census agglomerations, Ontario",1000,First-time homebuyer,Movable dwelling
2906,2022,"Census agglomerations, Ontario",0,First-time homebuyer,Movable dwelling
2911,2021,"Census agglomerations, Ontario",2200,First-time homebuyer,Condominium
2912,2022,"Census agglomerations, Ontario",5000,First-time homebuyer,Condominium
2914,2021,"Census agglomerations, Ontario",39500,First-time homebuyer,Not condominium
2915,2022,"Census agglomerations, Ontario",39800,First-time homebuyer,Not condominium
2918,2021,"Census agglomerations, Ontario",4400,First-time homebuyer,Dwelling satisfaction rating between 0 and 5
2919,2022,"Census agglomerations, Ontario",5900,First-time homebuyer,Dwelling satisfaction rating between 0 and 5
2920,2021,"Census agglomerations, Ontario",16000,First-time homebuyer,Dwelling satisfaction rating of 6 or 7
2921,2022,"Census agglomerations, Ontario",11800,First-time homebuyer,Dwelling satisfaction rating of 6 or 7
2922,2021,"Census agglomerations, Ontario",21300,First-time homebuyer,"Dwelling satisfaction rating of 8, 9 or 10"
2923,2022,"Census agglomerations, Ontario",27100,First-time homebuyer,"Dwelling satisfaction rating of 8, 9 or 10"
2926,2021,"Census agglomerations, Ontario",6500,First-time homebuyer,Neighbourhood satisfaction rating between 0 and 5
2927,2022,"Census agglomerations, Ontario",5500,First-time homebuyer,Neighbourhood satisfaction rating between 0 and 5
2928,2021,"Census agglomerations, Ontario",6800,First-time homebuyer,Neighbourhood satisfaction rating of 6 or 7
2929,2022,"Census agglomerations, Ontario",7700,First-time homebuyer,Neighbourhood satisfaction rating of 6 or 7
2930,2021,"Census agglomerations, Ontario",28400,First-time homebuyer,"Neighbourhood satisfaction rating of 8, 9 or 10"
2931,2022,"Census agglomerations, Ontario",31600,First-time homebuyer,"Neighbourhood satisfaction rating of 8, 9 or 10"
2933,2021,"Census agglomerations, Ontario",400,First-time homebuyer,"Moved because the household was forced to move by a landlord, a bank or other financial institution or the government"
2934,2022,"Census agglomerations, Ontario",2000,First-time homebuyer,"Moved because the household was forced to move by a landlord, a bank or other financial institution or the government"
2936,2021,"Census agglomerations, Ontario",0,First-time homebuyer,Moved due to a natural disaster or fire
2937,2022,"Census agglomerations, Ontario",0,First-time homebuyer,Moved due to a natural disaster or fire
2939,2021,"Census agglomerations, Ontario",2800,First-time homebuyer,Moved for a new job or job transfer
2940,2022,"Census agglomerations, Ontario",3200,First-time homebuyer,Moved for a new job or job transfer
2942,2021,"Census agglomerations, Ontario",0,First-time homebuyer,Moved for a new school
2943,2022,"Census agglomerations, Ontario",0,First-time homebuyer,Moved for a new school
2945,2021,"Census agglomerations, Ontario",12400,First-time homebuyer,Moved to form own household
2946,2022,"Census agglomerations, Ontario",8800,First-time homebuyer,Moved to form own household
2948,2021,"Census agglomerations, Ontario",3700,First-time homebuyer,Moved to be closer to family
2949,2022,"Census agglomerations, Ontario",4000,First-time homebuyer,Moved to be closer to family
2951,2021,"Census agglomerations, Ontario",11500,First-time homebuyer,Moved because of a change in household or family size
2952,2022,"Census agglomerations, Ontario",1800,First-time homebuyer,Moved because of a change in household or family size
2954,2021,"Census agglomerations, Ontario",4100,First-time homebuyer,Moved to reduce commuting time
2955,2022,"Census agglomerations, Ontario",0,First-time homebuyer,Moved to reduce commuting time
2957,2021,"Census agglomerations, Ontario",9900,First-time homebuyer,Moved to upgrade to a larger dwelling or better quality dwelling
2958,2022,"Census agglomerations, Ontario",8900,First-time homebuyer,Moved to upgrade to a larger dwelling or better quality dwelling
2960,2021,"Census agglomerations, Ontario",2200,First-time homebuyer,Moved to reduce housing costs
2961,2022,"Census agglomerations, Ontario",800,First-time homebuyer,Moved to reduce housing costs
2963,2021,"Census agglomerations, Ontario",7300,First-time homebuyer,Moved to be in a more desirable neighbourhood
2964,2022,"Census agglomerations, Ontario",2800,First-time homebuyer,Moved to be in a more desirable neighbourhood
2966,2021,"Census agglomerations, Ontario",1400,First-time homebuyer,Moved for personal health reasons
2967,2022,"Census agglomerations, Ontario",200,First-time homebuyer,Moved for personal health reasons
2969,2021,"Census agglomerations, Ontario",29800,First-time homebuyer,Moved to become a homeowner
2970,2022,"Census agglomerations, Ontario",33800,First-time homebuyer,Moved to become a homeowner
2971,2021,"Census agglomerations, Ontario",800,First-time homebuyer,Moved due to issues with previous landlord or other tenants
2972,2022,"Census agglomerations, Ontario",0,First-time homebuyer,Moved due to issues with previous landlord or other tenants
2974,2021,"Census agglomerations, Ontario",0,First-time homebuyer,Moved for another reason
2975,2022,"Census agglomerations, Ontario",5100,First-time homebuyer,Moved for another reason
2980,2021,"Census agglomerations, Ontario",253100,Repeat homebuyer,Single-detached house
2981,2022,"Census agglomerations, Ontario",262200,Repeat homebuyer,Single-detached house
2983,2021,"Census agglomerations, Ontario",15900,Repeat homebuyer,Semi-detached house
2984,2022,"Census agglomerations, Ontario",25800,Repeat homebuyer,Semi-detached house
2986,2021,"Census agglomerations, Ontario",8500,Repeat homebuyer,Row house
2987,2022,"Census agglomerations, Ontario",12900,Repeat homebuyer,Row house
2989,2021,"Census agglomerations, Ontario",7500,Repeat homebuyer,Apartment or flat in a duplex
2990,2022,"Census agglomerations, Ontario",3900,Repeat homebuyer,Apartment or flat in a duplex
2992,2021,"Census agglomerations, Ontario",1500,Repeat homebuyer,Apartment in a building that has five or more storeys
2993,2022,"Census agglomerations, Ontario",2200,Repeat homebuyer,Apartment in a building that has five or more storeys
2995,2021,"Census agglomerations, Ontario",7000,Repeat homebuyer,Apartment in a building that has fewer than five storeys
2996,2022,"Census agglomerations, Ontario",7900,Repeat homebuyer,Apartment in a building that has fewer than five storeys
2998,2021,"Census agglomerations, Ontario",0,Repeat homebuyer,Other single-attached house
2999,2022,"Census agglomerations, Ontario",0,Repeat homebuyer,Other single-attached house
3001,2021,"Census agglomerations, Ontario",0,Repeat homebuyer,Movable dwelling
3002,2022,"Census agglomerations, Ontario",1600,Repeat homebuyer,Movable dwelling
3007,2021,"Census agglomerations, Ontario",14700,Repeat homebuyer,Condominium
3008,2022,"Census agglomerations, Ontario",15100,Repeat homebuyer,Condominium
3010,2021,"Census agglomerations, Ontario",278800,Repeat homebuyer,Not condominium
3011,2022,"Census agglomerations, Ontario",301200,Repeat homebuyer,Not condominium
3014,2021,"Census agglomerations, Ontario",26100,Repeat homebuyer,Dwelling satisfaction rating between 0 and 5
3015,2022,"Census agglomerations, Ontario",26300,Repeat homebuyer,Dwelling satisfaction rating between 0 and 5
3016,2021,"Census agglomerations, Ontario",57800,Repeat homebuyer,Dwelling satisfaction rating of 6 or 7
3017,2022,"Census agglomerations, Ontario",68500,Repeat homebuyer,Dwelling satisfaction rating of 6 or 7
3018,2021,"Census agglomerations, Ontario",209600,Repeat homebuyer,"Dwelling satisfaction rating of 8, 9 or 10"
3019,2022,"Census agglomerations, Ontario",221500,Repeat homebuyer,"Dwelling satisfaction rating of 8, 9 or 10"
3022,2021,"Census agglomerations, Ontario",24100,Repeat homebuyer,Neighbourhood satisfaction rating between 0 and 5
3023,2022,"Census agglomerations, Ontario",31100,Repeat homebuyer,Neighbourhood satisfaction rating between 0 and 5
3024,2021,"Census agglomerations, Ontario",38600,Repeat homebuyer,Neighbourhood satisfaction rating of 6 or 7
3025,2022,"Census agglomerations, Ontario",42500,Repeat homebuyer,Neighbourhood satisfaction rating of 6 or 7
3026,2021,"Census agglomerations, Ontario",230800,Repeat homebuyer,"Neighbourhood satisfaction rating of 8, 9 or 10"
3027,2022,"Census agglomerations, Ontario",242800,Repeat homebuyer,"Neighbourhood satisfaction rating of 8, 9 or 10"
3029,2021,"Census agglomerations, Ontario",6700,Repeat homebuyer,"Moved because the household was forced to move by a landlord, a bank or other financial institution or the government"
3030,2022,"Census agglomerations, Ontario",4500,Repeat homebuyer,"Moved because the household was forced to move by a landlord, a bank or other financial institution or the government"
3032,2021,"Census agglomerations, Ontario",900,Repeat homebuyer,Moved due to a natural disaster or fire
3033,2022,"Census agglomerations, Ontario",0,Repeat homebuyer,Moved due to a natural disaster or fire
3035,2021,"Census agglomerations, Ontario",22000,Repeat homebuyer,Moved for a new job or job transfer
3036,2022,"Census agglomerations, Ontario",29500,Repeat homebuyer,Moved for a new job or job transfer
3038,2021,"Census agglomerations, Ontario",2400,Repeat homebuyer,Moved for a new school
3039,2022,"Census agglomerations, Ontario",2300,Repeat homebuyer,Moved for a new school
3041,2021,"Census agglomerations, Ontario",27900,Repeat homebuyer,Moved to form own household
3042,2022,"Census agglomerations, Ontario",27100,Repeat homebuyer,Moved to form own household
3044,2021,"Census agglomerations, Ontario",31400,Repeat homebuyer,Moved to be closer to family
3045,2022,"Census agglomerations, Ontario",28300,Repeat homebuyer,Moved to be closer to family
3047,2021,"Census agglomerations, Ontario",48300,Repeat homebuyer,Moved because of a change in household or family size
3048,2022,"Census agglomerations, Ontario",36300,Repeat homebuyer,Moved because of a change in household or family size
3050,2021,"Census agglomerations, Ontario",9600,Repeat homebuyer,Moved to reduce commuting time
3051,2022,"Census agglomerations, Ontario",12200,Repeat homebuyer,Moved to reduce commuting time
3053,2021,"Census agglomerations, Ontario",68100,Repeat homebuyer,Moved to upgrade to a larger dwelling or better quality dwelling
3054,2022,"Census agglomerations, Ontario",78900,Repeat homebuyer,Moved to upgrade to a larger dwelling or better quality dwelling
3056,2021,"Census agglomerations, Ontario",39400,Repeat homebuyer,Moved to reduce housing costs
3057,2022,"Census agglomerations, Ontario",26400,Repeat homebuyer,Moved to reduce housing costs
3059,2021,"Census agglomerations, Ontario",54200,Repeat homebuyer,Moved to be in a more desirable neighbourhood
3060,2022,"Census agglomerations, Ontario",37800,Repeat homebuyer,Moved to be in a more desirable neighbourhood
3062,2021,"Census agglomerations, Ontario",10600,Repeat homebuyer,Moved for personal health reasons
3063,2022,"Census agglomerations, Ontario",9800,Repeat homebuyer,Moved for personal health reasons
3065,2021,"Census agglomerations, Ontario",58400,Repeat homebuyer,Moved to become a homeowner
3066,2022,"Census agglomerations, Ontario",61300,Repeat homebuyer,Moved to become a homeowner
3067,2021,"Census agglomerations, Ontario",600,Repeat homebuyer,Moved due to issues with previous landlord or other tenants
3068,2022,"Census agglomerations, Ontario",0,Repeat homebuyer,Moved due to issues with previous landlord or other tenants
3070,2021,"Census agglomerations, Ontario",2600,Repeat homebuyer,Moved for another reason
3071,2022,"Census agglomerations, Ontario",36200,Repeat homebuyer,Moved for another reason
3076,2021,"Census agglomerations, Ontario",29300,Renter,Single-detached house
3077,2022,"Census agglomerations, Ontario",34200,Renter,Single-detached house
3079,2021,"Census agglomerations, Ontario",10800,Renter,Semi-detached house
3080,2022,"Census agglomerations, Ontario",8900,Renter,Semi-detached house
3082,2021,"Census agglomerations, Ontario",13600,Renter,Row house
3083,2022,"Census agglomerations, Ontario",17900,Renter,Row house
3085,2021,"Census agglomerations, Ontario",8000,Renter,Apartment or flat in a duplex
3086,2022,"Census agglomerations, Ontario",16900,Renter,Apartment or flat in a duplex
3088,2021,"Census agglomerations, Ontario",20600,Renter,Apartment in a building that has five or more storeys
3089,2022,"Census agglomerations, Ontario",19100,Renter,Apartment in a building that has five or more storeys
3091,2021,"Census agglomerations, Ontario",57300,Renter,Apartment in a building that has fewer than five storeys
3092,2022,"Census agglomerations, Ontario",57800,Renter,Apartment in a building that has fewer than five storeys
3094,2021,"Census agglomerations, Ontario",700,Renter,Other single-attached house
3095,2022,"Census agglomerations, Ontario",700,Renter,Other single-attached house
3097,2021,"Census agglomerations, Ontario",0,Renter,Movable dwelling
3098,2022,"Census agglomerations, Ontario",0,Renter,Movable dwelling
3103,2021,"Census agglomerations, Ontario",12700,Renter,Condominium
3104,2022,"Census agglomerations, Ontario",11500,Renter,Condominium
3106,2021,"Census agglomerations, Ontario",127600,Renter,Not condominium
3107,2022,"Census agglomerations, Ontario",143900,Renter,Not condominium
3110,2021,"Census agglomerations, Ontario",27300,Renter,Dwelling satisfaction rating between 0 and 5
3111,2022,"Census agglomerations, Ontario",51400,Renter,Dwelling satisfaction rating between 0 and 5
3112,2021,"Census agglomerations, Ontario",29700,Renter,Dwelling satisfaction rating of 6 or 7
3113,2022,"Census agglomerations, Ontario",34900,Renter,Dwelling satisfaction rating of 6 or 7
3114,2021,"Census agglomerations, Ontario",83400,Renter,"Dwelling satisfaction rating of 8, 9 or 10"
3115,2022,"Census agglomerations, Ontario",69100,Renter,"Dwelling satisfaction rating of 8, 9 or 10"
3118,2021,"Census agglomerations, Ontario",25500,Renter,Neighbourhood satisfaction rating between 0 and 5
3119,2022,"Census agglomerations, Ontario",41600,Renter,Neighbourhood satisfaction rating between 0 and 5
3120,2021,"Census agglomerations, Ontario",30700,Renter,Neighbourhood satisfaction rating of 6 or 7
3121,2022,"Census agglomerations, Ontario",33300,Renter,Neighbourhood satisfaction rating of 6 or 7
3122,2021,"Census agglomerations, Ontario",84200,Renter,"Neighbourhood satisfaction rating of 8, 9 or 10"
3123,2022,"Census agglomerations, Ontario",80500,Renter,"Neighbourhood satisfaction rating of 8, 9 or 10"
3125,2021,"Census agglomerations, Ontario",15400,Renter,"Moved because the household was forced to move by a landlord, a bank or other financial institution or the government"
3126,2022,"Census agglomerations, Ontario",19200,Renter,"Moved because the household was forced to move by a landlord, a bank or other financial institution or the government"
3128,2021,"Census agglomerations, Ontario",500,Renter,Moved due to a natural disaster or fire
3129,2022,"Census agglomerations, Ontario",2300,Renter,Moved due to a natural disaster or fire
3131,2021,"Census agglomerations, Ontario",10400,Renter,Moved for a new job or job transfer
3132,2022,"Census agglomerations, Ontario",15500,Renter,Moved for a new job or job transfer
3134,2021,"Census agglomerations, Ontario",3500,Renter,Moved for a new school
3135,2022,"Census agglomerations, Ontario",4400,Renter,Moved for a new school
3137,2021,"Census agglomerations, Ontario",9300,Renter,Moved to form own household
3138,2022,"Census agglomerations, Ontario",10800,Renter,Moved to form own household
3140,2021,"Census agglomerations, Ontario",16600,Renter,Moved to be closer to family
3141,2022,"Census agglomerations, Ontario",12500,Renter,Moved to be closer to family
3143,2021,"Census agglomerations, Ontario",25500,Renter,Moved because of a change in household or family size
3144,2022,"Census agglomerations, Ontario",23700,Renter,Moved because of a change in household or family size
3146,2021,"Census agglomerations, Ontario",5100,Renter,Moved to reduce commuting time
3147,2022,"Census agglomerations, Ontario",7600,Renter,Moved to reduce commuting time
3149,2021,"Census agglomerations, Ontario",23500,Renter,Moved to upgrade to a larger dwelling or better quality dwelling
3150,2022,"Census agglomerations, Ontario",21100,Renter,Moved to upgrade to a larger dwelling or better quality dwelling
3152,2021,"Census agglomerations, Ontario",19500,Renter,Moved to reduce housing costs
3153,2022,"Census agglomerations, Ontario",19900,Renter,Moved to reduce housing costs
3155,2021,"Census agglomerations, Ontario",14600,Renter,Moved to be in a more desirable neighbourhood
3156,2022,"Census agglomerations, Ontario",15400,Renter,Moved to be in a more desirable neighbourhood
3158,2021,"Census agglomerations, Ontario",15300,Renter,Moved for personal health reasons
3159,2022,"Census agglomerations, Ontario",11800,Renter,Moved for personal health reasons
3161,2021,"Census agglomerations, Ontario",1200,Renter,Moved to become a homeowner
3162,2022,"Census agglomerations, Ontario",2100,Renter,Moved to become a homeowner
3163,2021,"Census agglomerations, Ontario",9800,Renter,Moved due to issues with previous landlord or other tenants
3164,2022,"Census agglomerations, Ontario",9900,Renter,Moved due to issues with previous landlord or other tenants
3166,2021,"Census agglomerations, Ontario",3200,Renter,Moved for another reason
3167,2022,"Census agglomerations, Ontario",28200,Renter,Moved for another reason
3172,2021,"Outside census metropolitan areas and census agglomerations, Ontario",41100,First-time homebuyer,Single-detached house
3173,2022,"Outside census metropolitan areas and census agglomerations, Ontario",22000,First-time homebuyer,Single-detached house
3175,2021,"Outside census metropolitan areas and census agglomerations, Ontario",1700,First-time homebuyer,Semi-detached house
3176,2022,"Outside census metropolitan areas and census agglomerations, Ontario",600,First-time homebuyer,Semi-detached house
3178,2021,"Outside census metropolitan areas and census agglomerations, Ontario",2300,First-time homebuyer,Row house
3179,2022,"Outside census metropolitan areas and census agglomerations, Ontario",400,First-time homebuyer,Row house
3181,2021,"Outside census metropolitan areas and census agglomerations, Ontario",600,First-time homebuyer,Apartment or flat in a duplex
3182,2022,"Outside census metropolitan areas and census agglomerations, Ontario",3400,First-time homebuyer,Apartment or flat in a duplex
3184,2021,"Outside census metropolitan areas and census agglomerations, Ontario",0,First-time homebuyer,Apartment in a building that has five or more storeys
3185,2022,"Outside census metropolitan areas and census agglomerations, Ontario",0,First-time homebuyer,Apartment in a building that has five or more storeys
3187,2021,"Outside census metropolitan areas and census agglomerations, Ontario",1300,First-time homebuyer,Apartment in a building that has fewer than five storeys
3188,2022,"Outside census metropolitan areas and census agglomerations, Ontario",100,First-time homebuyer,Apartment in a building that has fewer than five storeys
3190,2021,"Outside census metropolitan areas and census agglomerations, Ontario",0,First-time homebuyer,Other single-attached house
3191,2022,"Outside census metropolitan areas and census agglomerations, Ontario",0,First-time homebuyer,Other single-attached house
3193,2021,"Outside census metropolitan areas and census agglomerations, Ontario",4800,First-time homebuyer,Movable dwelling
3194,2022,"Outside census metropolitan areas and census agglomerations, Ontario",0,First-time homebuyer,Movable dwelling
3199,2021,"Outside census metropolitan areas and census agglomerations, Ontario",2000,First-time homebuyer,Condominium
3200,2022,"Outside census metropolitan areas and census agglomerations, Ontario",100,First-time homebuyer,Condominium
3202,2021,"Outside census metropolitan areas and census agglomerations, Ontario",49800,First-time homebuyer,Not condominium
3203,2022,"Outside census metropolitan areas and census agglomerations, Ontario",26500,First-time homebuyer,Not condominium
3206,2021,"Outside census metropolitan areas and census agglomerations, Ontario",3500,First-time homebuyer,Dwelling satisfaction rating between 0 and 5
3207,2022,"Outside census metropolitan areas and census agglomerations, Ontario",3300,First-time homebuyer,Dwelling satisfaction rating between 0 and 5
